mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23.243771839141846,2.2711503599790452,0.08171777725219727,0.005435476695889211,tanh,1e-05,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.9994903160040775,0.99977347377959,0.999433684448975,0.9995469475591799,0.9997734609503313,0.9996035765484308,0.00014326471858273684,1
23.97649254798889,2.3702574895328006,0.08351635932922363,0.006541384095881024,tanh,1e-05,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.9994903160040775,0.99977347377959,0.999433684448975,0.9995469475591799,0.9997734609503313,0.9996035765484308,0.00014326471858273684,1
22.298934555053712,2.0664217059888506,0.08115644454956054,0.004679580591803382,tanh,0.0001,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.9994903160040775,0.99977347377959,0.9994903160040775,0.9995469475591799,0.9994902871382455,0.9995582680970341,0.00010981623287462115,3
23.652259159088135,1.8538630050241218,0.07975845336914063,0.00653504562899379,tanh,0.0001,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.9994903160040775,0.99977347377959,0.9994903160040775,0.9995469475591799,0.9994902871382455,0.9995582680970341,0.00010981623287462115,3
24.55694007873535,1.9734931502950714,0.09745030403137207,0.019592780747864563,tanh,0.001,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.9994903160040775,0.9997168422244875,0.9994903160040775,0.9995469475591799,0.9993770176134111,0.9995242878810467,0.00011098409324773694,5
23.48460736274719,1.7002720646293965,0.09982061386108398,0.017451463732236334,tanh,0.001,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.9994903160040775,0.9997168422244875,0.9994903160040775,0.9995469475591799,0.9993770176134111,0.9995242878810467,0.00011098409324773694,5
33.759576892852785,6.36223043331845,0.08132419586181641,0.012131594198592232,relu,1e-05,"(100, 100)",adaptive,adam,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.9991505266734625,0.9998301053346925,0.9993770528938725,0.9994903160040775,0.9996035566630798,0.9994903115138369,0.000226523975456627,7
35.81050810813904,6.16391145096409,0.09903988838195801,0.007519458511238468,relu,1e-05,"(100, 100)",constant,adam,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'solver': 'adam'}",0.9991505266734625,0.9998301053346925,0.9993770528938725,0.9994903160040775,0.9996035566630798,0.9994903115138369,0.000226523975456627,7
15.464029884338379,1.6445140747076483,0.04241175651550293,0.010845067051774388,relu,1e-05,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.999433684448975,0.999433684448975,0.999433684448975,0.99977347377959,0.9993770176134111,0.9994903089479852,0.00014327334016616362,9
14.476613426208496,2.05921652553012,0.03414487838745117,0.004034290075023698,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.999433684448975,0.999433684448975,0.999433684448975,0.99977347377959,0.9993770176134111,0.9994903089479852,0.00014327334016616362,9
15.17964072227478,2.895713598145979,0.039820289611816405,0.0050186437991925,relu,1e-05,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.999433684448975,0.999433684448975,0.999433684448975,0.99977347377959,0.9993770176134111,0.9994903089479852,0.00014327334016616362,9
15.134870672225953,1.9731519279190295,0.041276168823242185,0.00844735222005964,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.999433684448975,0.999433684448975,0.999433684448975,0.99977347377959,0.9993770176134111,0.9994903089479852,0.00014327334016616362,9
9.76562147140503,1.4985312283249457,0.023818778991699218,0.003298730481332855,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.99932042133877,0.9996602106693849,0.99932042133877,0.999433684448975,0.9996035566630798,0.999467658891796,0.00014146126544021598,13
9.581434392929078,1.8268476856624873,0.02641921043395996,0.005220398304429835,relu,1e-05,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.99932042133877,0.9996602106693849,0.99932042133877,0.999433684448975,0.9996035566630798,0.999467658891796,0.00014146126544021598,13
