mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17.02793154716492,2.536907624008201,0.05798192024230957,0.024910335241668222,tanh,0.0001,64,"(100,)",constant,30,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 30, 'solver': 'adam'}",0.9989806320081549,0.999433684448975,0.9994903160040775,0.999433684448975,0.9991504785637424,0.9992977590947849,0.0001981366755743509,1
15.811762762069701,3.404027268281897,0.04776930809020996,0.019764482152081524,tanh,0.0001,64,"(100,)",adaptive,30,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 30, 'solver': 'adam'}",0.9989806320081549,0.999433684448975,0.9994903160040775,0.999433684448975,0.9991504785637424,0.9992977590947849,0.0001981366755743509,1
12.491956281661988,0.9515606016832621,0.015160322189331055,0.0011775633177207388,relu,0.0001,64,"(50,)",adaptive,30,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 30, 'solver': 'adam'}",0.9986974742326424,0.99909389511836,0.9993770528938725,0.9997168422244875,0.9993203828509939,0.9992411294640713,0.00033713435652494856,3
12.13561782836914,0.8512417203500294,0.014136075973510742,0.0007417104742503286,relu,0.0001,64,"(50,)",constant,30,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 30, 'solver': 'adam'}",0.9986974742326424,0.99909389511836,0.9993770528938725,0.9997168422244875,0.9993203828509939,0.9992411294640713,0.00033713435652494856,3
14.837843656539917,0.9946921683724339,0.026009654998779295,0.0032860271530717336,relu,0.0001,64,"(100,)",constant,30,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 30, 'solver': 'adam'}",0.9989240004530524,0.9994903160040775,0.999207158228565,0.99932042133877,0.9992637480885768,0.9992411288226084,0.00018472552057448625,5
15.952722883224487,1.4873350964401242,0.023932409286499024,0.0027041458003075414,relu,0.0001,64,"(100,)",adaptive,30,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 30, 'solver': 'adam'}",0.9989240004530524,0.9994903160040775,0.999207158228565,0.99932042133877,0.9992637480885768,0.9992411288226084,0.00018472552057448625,5
22.40299048423767,3.2702131647656145,0.016237258911132812,0.0010746753883511644,relu,0.0001,32,"(50,)",adaptive,30,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 30, 'solver': 'adam'}",0.9986408426775399,0.99909389511836,0.9995469475591799,0.9992637897836675,0.9995469219006626,0.999218479407882,0.00033675043134963665,7
17.299537229537965,2.3192083462261395,0.015461540222167969,0.0012742429151680603,relu,0.0001,32,"(50,)",constant,30,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 30, 'solver': 'adam'}",0.9986408426775399,0.99909389511836,0.9995469475591799,0.9992637897836675,0.9995469219006626,0.999218479407882,0.00033675043134963665,7
13.323247623443603,1.6585942709699713,0.03030543327331543,0.012400371720981782,tanh,0.0001,64,"(50,)",adaptive,30,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 30, 'solver': 'adam'}",0.998527579567335,0.99909389511836,0.9993770528938725,0.9997168422244875,0.9993203828509939,0.9992071505310097,0.00039398413083776125,9
13.029164552688599,1.29844004670421,0.028464317321777344,0.013095923185070522,tanh,0.0001,64,"(50,)",constant,30,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 30, 'solver': 'adam'}",0.998527579567335,0.99909389511836,0.9993770528938725,0.9997168422244875,0.9993203828509939,0.9992071505310097,0.00039398413083776125,9
15.971948957443237,1.71449048592158,0.022537899017333985,0.0012562455467234402,relu,0.0001,64,"(100,)",constant,90,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 90, 'solver': 'adam'}",0.9988673688979499,0.9994903160040775,0.9992637897836675,0.99932042133877,0.9990938438013253,0.999207147965158,0.00021190136341874585,11
15.183889055252076,2.641896159051133,0.021713638305664064,0.0015175991995879997,relu,0.0001,64,"(100,)",adaptive,60,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 60, 'solver': 'adam'}",0.9988673688979499,0.9994903160040775,0.9992637897836675,0.99932042133877,0.9990938438013253,0.999207147965158,0.00021190136341874585,11
